admin1_pcode,state,admin3_pcode,township,total_pop,idps,pop_minus_idps,food_secure,marginally_food_secure,moderately_food_insecure,severely_food_insecure,food_insecure_moderately_severely,moderate_food_insecure_number,severely_food_insecure_number,moderately_severely,total_pin,pc_vul,has_idp
MMR001,Kachin,MMR001010,Bhamo,154328.6819752977,9577,144751.6819752977,0.171,0.566,0.262,0,0.262,37924.94067752799,0,37924.94067752799,47501.94067752799,0.30779722906679974,yes
MMR001,Kachin,MMR001005,Chipwi,22760.235051575986,2719,20041.235051575986,0.171,0.566,0.262,0,0.262,5250.8035835129085,0,5250.8035835129085,7969.8035835129085,0.35016350074825153,yes
MMR001,Kachin,MMR001009,Hpakant,376752.9342027131,4359,372393.9342027131,0.171,0.566,0.262,0,0.262,97567.21076111084,0,97567.21076111084,101926.21076111084,0.2705385983968717,yes
MMR001,Kachin,MMR001003,Injangyang,1967.200314852518,566,1401.200314852518,0.171,0.566,0.262,0,0.262,367.11448249135975,0,367.11448249135975,933.1144824913597,0.47433628159078234,yes
MMR001,Kachin,MMR001018,Khaunglanhpu,13237.713435107447,NA,13237.713435107447,0.171,0.566,0.262,0,0.262,3468.280919998151,0,3468.280919998151,3468.280919998151,0.262,no
MMR001,Kachin,MMR001016,Machanbaw,10060.889370071365,NA,10060.889370071365,0.171,0.566,0.262,0,0.262,2635.9530149586976,0,2635.9530149586976,2635.9530149586976,0.262,no
MMR001,Kachin,MMR001013,Mansi,60134.76943987677,14244,45890.76943987677,0.171,0.566,0.262,0,0.262,12023.381593247714,0,12023.381593247714,26267.381593247716,0.4368085524882582,yes
MMR001,Kachin,MMR001008,Mogaung,150615.76175055586,1632,148983.76175055586,0.171,0.566,0.262,0,0.262,39033.745578645634,0,39033.745578645634,40665.745578645634,0.2699966132760707,yes
MMR001,Kachin,MMR001007,Mohnyin,237713.2149515665,392,237321.2149515665,0.171,0.566,0.262,0,0.262,62178.15831731043,0,62178.15831731043,62570.15831731043,0.26321699586646435,yes
MMR001,Kachin,MMR001012,Momauk,71457.52921976405,25099,46358.52921976405,0.171,0.566,0.262,0,0.262,12145.934655578181,0,12145.934655578181,37244.93465557818,0.5212177787596497,yes
MMR001,Kachin,MMR001001,Myitkyina,360733.65404065774,11726,349007.65404065774,0.171,0.566,0.262,0,0.262,91440.00535865233,0,91440.00535865233,103166.00535865233,0.2859894113096103,yes
MMR001,Kachin,MMR001017,Nawngmun,8090.28166437326,NA,8090.28166437326,0.171,0.566,0.262,0,0.262,2119.6537960657943,0,2119.6537960657943,2119.6537960657943,0.262,no
MMR001,Kachin,MMR001014,Puta-O,69368.79863141889,498,68870.79863141889,0.171,0.566,0.262,0,0.262,18044.14924143175,0,18044.14924143175,18542.14924143175,0.26729811683712135,yes
MMR001,Kachin,MMR001011,Shwegu,107655.37796938862,3129,104526.37796938862,0.171,0.566,0.262,0,0.262,27385.91102797982,0,27385.91102797982,30514.91102797982,0.28344994559079634,yes
MMR001,Kachin,MMR001015,Sumprabum,2891.7390309552607,1203,1688.7390309552607,0.171,0.566,0.262,0,0.262,442.4496261102783,0,442.4496261102783,1645.4496261102784,0.5690173312654422,yes
MMR001,Kachin,MMR001004,Tanai,68169.3970537721,1257,66912.3970537721,0.171,0.566,0.262,0,0.262,17531.04802808829,0,17531.04802808829,18788.04802808829,0.2756082471034364,yes
MMR001,Kachin,MMR001006,Tsawlaw,7403.124510513114,NA,7403.124510513114,0.171,0.566,0.262,0,0.262,1939.618621754436,0,1939.618621754436,1939.618621754436,0.262,no
MMR001,Kachin,MMR001002,Waingmaw,142592.4921061458,26801,115791.4921061458,0.171,0.566,0.262,0,0.262,30337.3709318102,0,30337.3709318102,57138.370931810205,0.40071093567308175,yes
MMR002,Kayah,MMR002005,Bawlake,12712.895004683189,NA,12712.895004683189,0.114,0,0.304,0.077,0.381,3864.7200814236894,978.8929153606056,4843.612996784295,4843.612996784295,0.381,no
MMR002,Kayah,MMR002002,Demoso,91567.29695033768,52003,39564.29695033768,0.114,0,0.304,0.077,0.381,12027.546272902655,3046.4508651760016,15073.997138078656,67076.99713807866,0.7325431608454976,yes
MMR002,Kayah,MMR002006,Hpasawng,29590.199595294787,120,29470.199595294787,0.114,0,0.304,0.077,0.381,8958.940676969614,2269.2053688376986,11228.146045807312,11348.146045807312,0.3835102906035081,yes
MMR002,Kayah,MMR002003,Hpruso,33960.40177042233,6572,27388.40177042233,0.114,0,0.304,0.077,0.381,8326.074138208389,2108.9069363225194,10434.981074530908,17006.981074530908,0.5007885710393175,yes
MMR002,Kayah,MMR002001,Loikaw,148449.29351548982,21208,127241.29351548982,0.114,0,0.304,0.077,0.381,38681.353228708904,9797.579600692716,48478.932829401616,69686.93282940162,0.4694325663606489,yes
MMR002,Kayah,MMR002007,Mese,7305.63691656903,320,6985.63691656903,0.114,0,0.304,0.077,0.381,2123.6336226369854,537.8940425758153,2661.5276652128005,2981.5276652128005,0.4081133102099228,yes
MMR002,Kayah,MMR002004,Shadaw,7794.683350452351,NA,7794.683350452351,0.114,0,0.304,0.077,0.381,2369.583738537515,600.1906179848311,2969.774356522346,2969.774356522346,0.381,no
MMR003,Kayin,MMR003002,Hlaingbwe,275878.0378153535,8228,267650.0378153535,0.121,0.571,0.282,0.026,0.308,75477.31066392967,6958.900983199191,82436.21164712886,90664.21164712886,0.32863874328340287,yes
MMR003,Kayin,MMR003001,Hpa-An,437422.79044545017,151,437271.79044545017,0.121,0.571,0.282,0.026,0.308,123310.64490561694,11369.066551581704,134679.71145719863,134830.71145719863,0.30823888101462105,yes
MMR003,Kayin,MMR003003,Hpapun,36403.91058003586,47843,-11439.08941996414,0.121,0.571,0.282,0.026,0.308,-3225.8232164298875,-297.4163249190676,-3523.239541348955,44319.76045865104,1.2174450423729006,yes
MMR003,Kayin,MMR003006,Kawkareik,228625.06669591743,NA,228625.06669591743,0.121,0.571,0.282,0.026,0.308,64472.26880824871,5944.251734093853,70416.52054234257,70416.52054234257,0.308,no
MMR003,Kayin,MMR003007,Kyainseikgyi,264429.2491780408,NA,264429.2491780408,0.121,0.571,0.282,0.026,0.308,74569.0482682075,6875.16047862906,81444.20874683655,81444.20874683655,0.308,no
MMR003,Kayin,MMR003005,Myawaddy,218454.5912361622,100,218354.5912361622,0.121,0.571,0.282,0.026,0.308,61575.99472859773,5677.219372140217,67253.21410073795,67353.21410073795,0.30831677063690177,yes
MMR003,Kayin,MMR003004,Thandaunggyi,99662.77380742782,2902,96760.77380742782,0.121,0.571,0.282,0.026,0.308,27286.538213694643,2515.7801189931233,29802.318332687766,32704.318332687766,0.328149790370879,yes
MMR004,Chin,MMR004001,Falam,51831.49727101556,4310,47521.49727101556,0.083,0.36,0.389,0.169,0.558,18485.862438425054,8031.13303880163,26516.995477226686,30826.995477226686,0.5947540993469486,yes
MMR004,Chin,MMR004002,Hakha,52127.97296104466,255,51872.97296104466,0.083,0.36,0.389,0.169,0.558,20178.586481846374,8766.532430416548,28945.118912262922,29200.118912262922,0.5601621788379193,yes
MMR004,Chin,MMR004008,Kanpetlet,23171.461839256557,1202,21969.461839256557,0.083,0.36,0.389,0.169,0.558,8546.1206554708,3712.839050834358,12258.959706305159,13460.959706305159,0.580928376452275,yes
MMR004,Chin,MMR004007,Matupi,55361.17512248934,NA,55361.17512248934,0.083,0.36,0.389,0.169,0.558,21535.497122648354,9356.038595700698,30891.535718349052,30891.535718349052,0.558,no
MMR004,Chin,MMR004006,Mindat,45926.77961905409,4820,41106.77961905409,0.083,0.36,0.389,0.169,0.558,15990.537271812042,6947.045755620142,22937.583027432185,27757.583027432185,0.6043877506254788,yes
MMR004,Chin,MMR004009,Paletwa,104632.20052507173,9841,94791.20052507173,0.083,0.36,0.389,0.169,0.558,36873.77700425291,16019.712888737124,52893.48989299003,62734.48989299003,0.5995715427771944,yes
MMR004,Chin,MMR004004,Tedim,94465.77959061916,NA,94465.77959061916,0.083,0.36,0.389,0.169,0.558,36747.18826075085,15964.71675081464,52711.90501156549,52711.90501156549,0.5579999999999999,no
MMR004,Chin,MMR004003,Thantlang,54307.87785282231,1394,52913.87785282231,0.083,0.36,0.389,0.169,0.558,20583.49848474788,8942.445357126971,29525.943841874854,30919.943841874854,0.5693454626540518,yes
MMR004,Chin,MMR004005,Tonzang,34367.46198817385,NA,34367.46198817385,0.083,0.36,0.389,0.169,0.558,13368.942713399627,5808.1010760013805,19177.043789401007,19177.043789401007,0.5579999999999999,no
MMR011,Mon,MMR011010,Bilin,174375.27232961828,1095,173280.27232961828,0.135,0.623,0.233,0.009,0.242,40374.30345280106,1559.5224509665645,41933.825903767625,43028.825903767625,0.24675990654472527,yes
MMR011,Mon,MMR011003,Chaungzon,117607.3699214522,NA,117607.3699214522,0.135,0.623,0.233,0.009,0.242,27402.517191698367,1058.4663292930697,28460.983520991438,28460.983520991438,0.24200000000000005,no
MMR011,Mon,MMR011002,Kyaikmaraw,188565.08118107164,NA,188565.08118107164,0.135,0.623,0.233,0.009,0.242,43935.663915189696,1697.0857306296446,45632.74964581934,45632.74964581934,0.24200000000000002,no
MMR011,Mon,MMR011009,Kyaikto,177704.36423321342,NA,177704.36423321342,0.135,0.623,0.233,0.009,0.242,41405.11686633873,1599.3392780989207,43004.45614443765,43004.45614443765,0.24200000000000002,no
MMR011,Mon,MMR011001,Mawlamyine,278680.7196406106,NA,278680.7196406106,0.135,0.623,0.233,0.009,0.242,64932.607676262276,2508.1264767654952,67440.73415302778,67440.73415302778,0.24200000000000002,no
MMR011,Mon,MMR011005,Mudon,183679.78085508436,NA,183679.78085508436,0.135,0.623,0.233,0.009,0.242,42797.38893923466,1653.118027695759,44450.50696693042,44450.50696693042,0.24200000000000002,no
MMR011,Mon,MMR011008,Paung,210376.07410109657,NA,210376.07410109657,0.135,0.623,0.233,0.009,0.242,49017.62526555551,1893.384666909869,50911.00993246538,50911.00993246538,0.24200000000000005,no
MMR011,Mon,MMR011004,Thanbyuzayat,164226.21257492076,NA,164226.21257492076,0.135,0.623,0.233,0.009,0.242,38264.70752995654,1478.0359131742869,39742.74344313083,39742.74344313083,0.24200000000000002,no
MMR011,Mon,MMR011007,Thaton,229296.140236455,NA,229296.140236455,0.135,0.623,0.233,0.009,0.242,53426.000675094016,2063.6652621280946,55489.66593722211,55489.66593722211,0.24200000000000002,no
MMR011,Mon,MMR011006,Ye,253869.98090638287,NA,253869.98090638287,0.135,0.623,0.233,0.009,0.242,59151.70555118721,2284.8298281574457,61436.535379344656,61436.535379344656,0.242,no
MMR012,Rakhine,MMR012014,Ann,123930.35613315948,3984,119946.35613315948,0.021,0.58,0.346,0.054,0.4,41501.439222073175,6477.103231190612,47978.542453263784,51962.542453263784,0.41928825248780516,yes
MMR012,Rakhine,MMR012010,Buthidaung,57501.30838010879,7030,50471.30838010879,0.021,0.58,0.346,0.054,0.4,17463.07269951764,2725.450652525875,20188.523352043514,27218.523352043514,0.4733548525907823,yes
MMR012,Rakhine,MMR012017,Gwa,68340.06432105285,NA,68340.06432105285,0.021,0.58,0.346,0.054,0.4,23645.662255084284,3690.363473336854,27336.025728421137,27336.025728421137,0.39999999999999997,no
MMR012,Rakhine,MMR012011,Kyaukpyu,171175.73756895756,1001,170174.73756895756,0.021,0.58,0.346,0.054,0.4,58880.45919885931,9189.435828723708,68069.89502758301,69070.89502758301,0.40350867481881325,yes
MMR012,Rakhine,MMR012004,Kyauktaw,179196.62400930474,15095,164101.62400930474,0.021,0.58,0.346,0.054,0.4,56779.16190721944,8861.487696502456,65640.64960372189,80735.64960372189,0.4505422468200613,yes
MMR012,Rakhine,MMR012009,Maungdaw,42221.457598032895,NA,42221.457598032895,0.021,0.58,0.346,0.054,0.4,14608.62432891938,2279.958710293776,16888.583039213157,16888.583039213157,0.39999999999999997,no
MMR012,Rakhine,MMR012005,Minbya,175167.54682476277,2922,172245.54682476277,0.021,0.58,0.346,0.054,0.4,59596.959201367914,9301.25952853719,68898.2187299051,71820.2187299051,0.41000870327740496,yes
MMR012,Rakhine,MMR012003,Mrauk-U,196308.81462093847,22743,173565.81462093847,0.021,0.58,0.346,0.054,0.4,60053.77185884471,9372.553989530677,69426.32584837539,92169.32584837539,0.4695119066678146,yes
MMR012,Rakhine,MMR012012,Munaung,58972.356344968524,NA,58972.356344968524,0.021,0.58,0.346,0.054,0.4,20404.435295359108,3184.5072426283004,23588.94253798741,23588.94253798741,0.39999999999999997,no
MMR012,Rakhine,MMR012006,Myebon,142024.9707551043,6579,135445.9707551043,0.021,0.58,0.346,0.054,0.4,46864.30588126608,7314.082420775632,54178.38830204171,60757.38830204171,0.427793704015659,yes
MMR012,Rakhine,MMR012007,Pauktaw,151097.64096202247,24429,126668.64096202247,0.021,0.58,0.346,0.054,0.4,43827.34977285977,6840.106611949213,50667.45638480899,75096.45638480899,0.4970061471951376,yes
MMR012,Rakhine,MMR012002,Ponnagyun,134322.93214950498,2889,131433.93214950498,0.021,0.58,0.346,0.054,0.4,45476.14052372872,7097.432336073269,52573.572859801985,55462.572859801985,0.4129047212732869,yes
MMR012,Rakhine,MMR012013,Ramree,101338.74477697774,NA,101338.74477697774,0.021,0.58,0.346,0.054,0.4,35063.20569283429,5472.292217956798,40535.49791079109,40535.49791079109,0.39999999999999997,no
MMR012,Rakhine,MMR012008,Rathedaung,115917.75145475383,19553,96364.75145475383,0.021,0.58,0.346,0.054,0.4,33342.20400334482,5203.696578556707,38545.90058190153,58098.90058190153,0.5012079673110228,yes
MMR012,Rakhine,MMR012001,Sittwe,153108.0386733227,112456,40652.038673322706,0.021,0.58,0.346,0.054,0.4,14065.605380969655,2195.210088359426,16260.815469329082,128716.81546932909,0.8406927329528681,yes
MMR012,Rakhine,MMR012015,Thandwe,138185.3388749741,NA,138185.3388749741,0.021,0.58,0.346,0.054,0.4,47812.12725074104,7462.008299248602,55274.135549989645,55274.135549989645,0.4,no
MMR012,Rakhine,MMR012016,Toungup,163917.80844747147,NA,163917.80844747147,0.021,0.58,0.346,0.054,0.4,56715.56172282512,8851.56165616346,65567.12337898859,65567.12337898859,0.4,no
MMR013,Yangon,MMR013037,Ahlone,64567.03937827991,NA,64567.03937827991,0.151,0.624,0.216,0.008,0.224,13946.48050570846,516.5363150262393,14463.0168207347,14463.0168207347,0.224,no
MMR013,Yangon,MMR013044,Bahan,112571.62418693941,NA,112571.62418693941,0.151,0.624,0.216,0.008,0.224,24315.470824378914,900.5729934955153,25216.04381787443,25216.04381787443,0.224,no
MMR013,Yangon,MMR013017,Botahtaung,47707.829193478705,NA,47707.829193478705,0.151,0.624,0.216,0.008,0.224,10304.8911057914,381.66263354782967,10686.55373933923,10686.55373933923,0.224,no
MMR013,Yangon,MMR013032,Cocokyun,2257.670170395138,NA,2257.670170395138,0.151,0.624,0.216,0.008,0.224,487.6567568053498,18.061361363161105,505.7181181685109,505.7181181685109,0.224,no
MMR013,Yangon,MMR013043,Dagon,29189.115058686,NA,29189.115058686,0.151,0.624,0.216,0.008,0.224,6304.848852676176,233.512920469488,6538.361773145663,6538.361773145663,0.22399999999999998,no
MMR013,Yangon,MMR013020,Dagon Myothit (East),192749.1726712401,NA,192749.1726712401,0.151,0.624,0.216,0.008,0.224,41633.821296987866,1541.993381369921,43175.81467835779,43175.81467835779,0.22400000000000003,no
MMR013,Yangon,MMR013019,Dagon Myothit (North),237343.97727409672,NA,237343.97727409672,0.151,0.624,0.216,0.008,0.224,51266.29909120489,1898.7518181927737,53165.050909397665,53165.050909397665,0.224,no
MMR013,Yangon,MMR013021,Dagon Myothit (Seikkan),194867.1931403737,NA,194867.1931403737,0.151,0.624,0.216,0.008,0.224,42091.31371832072,1558.9375451229898,43650.251263443715,43650.251263443715,0.22400000000000003,no
MMR013,Yangon,MMR013018,Dagon Myothit (South),432502.10729209863,NA,432502.10729209863,0.151,0.624,0.216,0.008,0.224,93420.4551750933,3460.016858336789,96880.4720334301,96880.4720334301,0.224,no
MMR013,Yangon,MMR013030,Dala,201161.9034247383,NA,201161.9034247383,0.151,0.624,0.216,0.008,0.224,43450.97113974347,1609.2952273979065,45060.26636714138,45060.26636714138,0.22400000000000003,no
MMR013,Yangon,MMR013014,Dawbon,87659.28122938855,NA,87659.28122938855,0.151,0.624,0.216,0.008,0.224,18934.404745547927,701.2742498351084,19635.678995383034,19635.678995383034,0.22399999999999998,no
MMR013,Yangon,MMR013040,Hlaing,186556.8721678007,NA,186556.8721678007,0.151,0.624,0.216,0.008,0.224,40296.28438824495,1492.4549773424055,41788.73936558736,41788.73936558736,0.22400000000000003,no
MMR013,Yangon,MMR013008,Hlaingtharya,800503.5088140167,NA,800503.5088140167,0.151,0.624,0.216,0.008,0.224,172908.75790382762,6404.028070512134,179312.78597433976,179312.78597433976,0.224,no
MMR013,Yangon,MMR013004,Hlegu,315074.1647437887,NA,315074.1647437887,0.151,0.624,0.216,0.008,0.224,68056.01958465837,2520.59331795031,70576.61290260867,70576.61290260867,0.224,no
MMR013,Yangon,MMR013003,Hmawbi,284660.787304043,NA,284660.787304043,0.151,0.624,0.216,0.008,0.224,61486.73005767329,2277.286298432344,63764.01635610563,63764.01635610563,0.224,no
MMR007,Bago (East),MMR007014,Htantabin,169665.07705270514,NA,169665.07705270514,0.151,0.624,0.216,0.008,0.224,36647.65664338431,1357.320616421641,38004.97725980595,38004.97725980595,0.224,no
MMR013,Yangon,MMR007014,Htantabin,169665.07705270514,NA,169665.07705270514,0.151,0.624,0.216,0.008,0.224,36647.65664338431,1357.320616421641,38004.97725980595,38004.97725980595,0.224,no
MMR013,Yangon,MMR013001,Insein,355272.33125192724,NA,355272.33125192724,0.151,0.624,0.216,0.008,0.224,76738.82355041629,2842.178650015418,79581.0022004317,79581.0022004317,0.224,no
MMR013,Yangon,MMR013041,Kamaryut,98416.9632165703,NA,98416.9632165703,0.151,0.624,0.216,0.008,0.224,21258.064054779185,787.3357057325624,22045.399760511747,22045.399760511747,0.224,no
MMR013,Yangon,MMR013028,Kawhmu,138544.1411265676,NA,138544.1411265676,0.151,0.624,0.216,0.008,0.224,29925.534483338604,1108.3531290125409,31033.887612351144,31033.887612351144,0.22399999999999998,no
MMR013,Yangon,MMR013026,Kayan,183894.21786374706,NA,183894.21786374706,0.151,0.624,0.216,0.008,0.224,39721.15105856937,1471.1537429099765,41192.304801479346,41192.304801479346,0.224,no
MMR013,Yangon,MMR013029,Kungyangon,129911.46209358246,NA,129911.46209358246,0.151,0.624,0.216,0.008,0.224,28060.875812213813,1039.2916967486597,29100.167508962473,29100.167508962473,0.224,no
MMR013,Yangon,MMR013033,Kyauktada,34741.35443134332,NA,34741.35443134332,0.151,0.624,0.216,0.008,0.224,7504.132557170157,277.9308354507466,7782.063392620904,7782.063392620904,0.22399999999999998,no
MMR013,Yangon,MMR013024,Kyauktan,194867.1931403737,NA,194867.1931403737,0.151,0.624,0.216,0.008,0.224,42091.31371832072,1558.9375451229898,43650.251263443715,43650.251263443715,0.22400000000000003,no
MMR013,Yangon,MMR013038,Kyeemyindaing,129774.13988734195,NA,129774.13988734195,0.151,0.624,0.216,0.008,0.224,28031.214215665863,1038.1931190987357,29069.407334764597,29069.407334764597,0.224,no
MMR013,Yangon,MMR013035,Lanmadaw,54882.332595791086,NA,54882.332595791086,0.151,0.624,0.216,0.008,0.224,11854.583840690875,439.05866076632867,12293.642501457203,12293.642501457203,0.224,no
MMR013,Yangon,MMR013036,Latha,29160.02137092318,NA,29160.02137092318,0.151,0.624,0.216,0.008,0.224,6298.564616119406,233.28017096738543,6531.844787086792,6531.844787086792,0.224,no
MMR013,Yangon,MMR013042,Mayangone,230553.5105502536,NA,230553.5105502536,0.151,0.624,0.216,0.008,0.224,49799.558278854776,1844.4280844020288,51643.98636325681,51643.98636325681,0.22400000000000003,no
MMR013,Yangon,MMR013002,Mingaladon,385882.3820209496,NA,385882.3820209496,0.151,0.624,0.216,0.008,0.224,83350.59451652512,3087.059056167597,86437.65357269271,86437.65357269271,0.22399999999999998,no
MMR013,Yangon,MMR013022,Mingalartaungnyunt,154189.56265790385,NA,154189.56265790385,0.151,0.624,0.216,0.008,0.224,33304.94553410723,1233.5165012632308,34538.46203537046,34538.46203537046,0.22399999999999998,no
MMR013,Yangon,MMR013012,North Okkalapa,387868.8990213952,NA,387868.8990213952,0.151,0.624,0.216,0.008,0.224,83779.68218862136,3102.9511921711614,86882.63338079253,86882.63338079253,0.224,no
MMR013,Yangon,MMR013034,Pabedan,38794.68701045995,NA,38794.68701045995,0.151,0.624,0.216,0.008,0.224,8379.652394259349,310.3574960836796,8690.009890343028,8690.009890343028,0.22399999999999998,no
MMR013,Yangon,MMR013016,Pazundaung,56389.38562190537,NA,56389.38562190537,0.151,0.624,0.216,0.008,0.224,12180.10729433156,451.11508497524295,12631.222379306802,12631.222379306802,0.22399999999999998,no
MMR013,Yangon,MMR013039,Sanchaung,115931.36324979032,NA,115931.36324979032,0.151,0.624,0.216,0.008,0.224,25041.17446195471,927.4509059983226,25968.62536795303,25968.62536795303,0.224,no
MMR013,Yangon,MMR013031,Seikgyikanaungto,39570.90659997209,NA,39570.90659997209,0.151,0.624,0.216,0.008,0.224,8547.315825593972,316.5672527997767,8863.883078393748,8863.883078393748,0.224,no
MMR013,Yangon,MMR013045,Seikkan,3288.7504647096184,NA,3288.7504647096184,0.151,0.624,0.216,0.008,0.224,710.3701003772776,26.31000371767695,736.6801040949546,736.6801040949546,0.224,no
MMR013,Yangon,MMR013007,Shwepyithar,399777.52729647426,NA,399777.52729647426,0.151,0.624,0.216,0.008,0.224,86351.94589603844,3198.220218371794,89550.16611441023,89550.16611441023,0.22399999999999998,no
MMR013,Yangon,MMR013011,South Okkalapa,187509.9813789108,NA,187509.9813789108,0.151,0.624,0.216,0.008,0.224,40502.15597784473,1500.0798510312864,42002.23582887602,42002.23582887602,0.224,no
MMR013,Yangon,MMR013005,Taikkyi,322669.94474490674,NA,322669.94474490674,0.151,0.624,0.216,0.008,0.224,69696.70806489985,2581.359557959254,72278.0676228591,72278.0676228591,0.22399999999999998,no
